SEARCH_NAME,SHORT_NAME,LEGAL_ID
NOVAMED NORD,NOVAMED NORD S.R.L.,1021600013235
CAPITAL LEASING,O.C.N. CAPITAL LEASING S.R.L.,1010600042129
EXPERT LEASING and FINANCE,O.C.N. EXPERT LEASING and FINANCE S?.R.L.,1010600040930
MAIB LEASING,O.C.N. MAIB-LEASING S.A.,1004600000070
MICROINVEST,O.C.N. MICROINVEST S.R.L.,1003600053518
PRIME CAPITAL,O.C.N. PRIME CAPITAL S.R.L.,1005600041908
ODISEM GRUP,ODISEM GRUP S.R.L.,1017600050701
OLMOSDON,OLMOSDON S.R.L.,1002600017102
ORGANIC LAND,ORGANIC LAND S.R.L.,1020600007280
ORHEI VIT,ORHEI-VIT S.R.L.,1003606004176
OROM IMEXPO,OROM-IMEXPO S.R.L.,1003606005210
PASIFLORA,PASIFLORA S.R.L.,1004600002960
PIELART,PIELART S.A.,1002600027000
PRIMARIA MUNICIPIULUI CHISINAU,PRIMARIA MUNICIPIULUI CHISINAU,1007601009484
PROMETEU T,PROMETEU-T S.A.,1002600005196
PROMILTON,PROMILTON S.R.L.,1003600054054
PSV PECOTRANS,PSV-PECOTRANS S.R.L.,1003606009838
RADACINI WINES,RADACINI WINES S.R.L.,1011600016198
RIHPANGALFARMA,RIHPANGALFARMA S.R.L.,1002600034310
ROYAL PROGRES,ROYAL-PROGRES S.R.L.,1002600001589
RUTADOR,RUTADOR S.R.L.,1004600021987
ATC AGROTEHCOMERT,S.A. ATC-AGROTEHCOMERT,1002605001218
INCOMLAC,S.A. INCOMLAC,1002602006326
JLC,S.A. JLC,1002600005059
IMCOMVIL GRUP,S.C IMCOMVIL GRUP S.R.L,1003600160027
ART BUSINESS CLUB,S.C. ART BUSINESS CLUB S.R.L.,1007600016362
AXEDUM,S.C. AXEDUM S.R.L.,1003605002935
BRODETCHI,S.C. BRODETCHI S.R.L.,1004606001297
CARVIDON SERVICE,S.C. CARVIDON SERVICE S.R.L.,1005611002057
DAAC SYSTEM INTEGRATOR,S.C. DAAC SYSTEM INTEGRATOR S.R.L.,1006600054871
FLUMED FARM,S.C. FLUMED-FARM S.R.L.,1006600035278
GIANIS IMPEX,S.C. GIANIS IMPEX S.R.L.,1006600042887
INAMSTRO,S.C. INAMSTRO S.R.L.,1006606001095
KASS EXPO INTERNATIONAL CORP,S.C. KASS EXPO INTERNATIONAL CORP. ?S.R.L.,1003600086291
MAESTRO NUT,S.C. MAESTRO-NUT S.R.L.,1004600057247
NOUCONST,S.C. NOUCONST S.R.L.,1005600012120
PRIMOBIL LUX,S.C. PRIMOBIL-LUX S.R.L.,1003600150934
SARGU TRANS,S.C. SARGU-TRANS S.R.L.,1007600029836
SIMBACOM LUX,S.C. SIMBACOM-LUX S.R.L.,1003600151805
TANOLVIR COM,S.C. TANOLVIR-COM SRL,1006605005074
TRANSTEST,S.C. TRANSTEST S.R.L.,1007611000792
UNIVERSUL RESTAURANTELOR,S.C. UNIVERSUL RESTAURANTELOR S.R.L,1006600015678
SMILE ASSETS,S.O.S. SMILE ASSETS S.R.L.,1019600023194
SMILE DENTAL SERVICES,S.O.S. SMILE DENTAL SERVICES S.R.L.,1019600036864
AGROELIT,S.R.L. AGROELIT,1003604011851
AVIS MMS,S.R.L. AVIS-MMS,1002605001665
CARVIDON-TRADE,S.R.L. CARVIDON-TRADE,1019611004614
ECO GRAIN ELEVATOR,S.R.L. ECO-GRAIN ELEVATOR,1022607001502
ECOBIOPROD,S.R.L. ECOBIOPROD,1010605001846
ISPAN LUX,S.R.L. ISPAN - LUX,1010608001124
MAGDALINAS,S.R.L. MAGDALINAS,1002602006197
OLIMP SRL,S.R.L. OLIMP,1003611000716
PARCUL DE AUTOBUZE SI TAXIMETRIE NR9 DIN BRICENI,S.R.L. PARCUL DE AUTOBUZE SI TAXIME?TRE NR.9 DIN BRICENI,1003604001469
PETROCUB and CO,S.R.L. PETROCUB and CO,1002605001540
PUIU AXD,S.R.L. PUIU AXD,1020605000688
RAIPLAI AVICOLA,S.R.L. RAIPLAI-AVICOLA,1002604000454
ROCKOR BREWERY,S.R.L. ROCKSCOR BREWERY,1004606005619
RUSAGRO PRIM,S.R.L. RUSAGRO-PRIM,1003611004932
SIGILIU LUX,S.R.L. SIGILIU-LUX,1002605000244
