06.04.2021,1002600024825,AGROSTOC C.I.,Pro TV,"Reactia companiile care au fost amendate cu peste 91 de milioane de lei de catre Consiliul Concurentei: ""Nu exista ...",https://protv.md/actualitate/reactia-companiile-care-au-fost-amendate-cu-peste-91-de-milioane-de-lei-de-catre-consiliul-concurentei-nu-exista-nicio-intelegere-de-cartel-decizia-contestata-in-instanta-de-judecata-video---2562919.html
03.04.2021,1002600024825,AGROSTOC C.I.,MoldStreet,"Compania unui fost premier, împreună cu alte trei, obligate să achite o amendă de 91 milioane lei - MoldStreet",https://www.mold-street.com/?go=news&amp;n=11923
02.04.2021,1002600024825,AGROSTOC C.I.,Ziarul de Gardă,"DOC/ Cea mai mare amendă aplicată vreodată de către Consiliul Concurenței pentru înțelegeri de cartel - 91, 034 ...",https://www.zdg.md/stiri/stiri-sociale/doc-cea-mai-mare-amenda-aplicata-vreodata-de-catre-consiliul-concurenei-91-034-milioane-lei-pentru-inelegeri-de-cartel-firma-unui-fost-premier-vizata-cc-acuza-presiuni-din-partea-companiilor-amendat/
02.04.2021,1002600024825,AGROSTOC C.I.,TV8.md,"Cel mai mare cartel din Moldova, destructurat! Trei companii, sancționate cu o amendă RECORD",https://tv8.md/2021/04/02/cel-mai-mare-cartel-din-moldova-destructurat-trei-companii-sanctionate-cu-o-amenda-record
19.12.2020,1002600024825,AGROSTOC C.I.,Unimedia,Premieră în Moldova: A fost deschisă prima hală unde se vor produce fertilizanți pentru sectorul agricol,https://unimedia.info/ro/news/4e7182e46c5ab833/premiera-in-moldova-a-fost-deschisa-prima-hala-unde-se-vor-produce-fertilizanti-pentru-sectorul-agricol
18.12.2020,1002600024825,AGROSTOC C.I.,Radio Chișinău,La Leova se vor produce fertilizanți de ultimă generație pentru sectorul agricol,https://radiochisinau.md/la-leova-se-vor-produce-fertilizanti-de-ultima-generatie-pentru-sectorul-agricol---123204.html
29.01.2024,1003602000572,ANVAR-COM S.R.L.,Stiri.md,"Seniorii din Capitală, chemați la o nouă ediție a spectacolelor muzicale",https://stiri.md/article/social/seniorii-din-capitala-invitati-la-o-noua-editie-a-spectacolelor-muzicale-de-weekend-3
29.01.2024,1003602000572,ANVAR-COM S.R.L.,Agenţia de presă | IPN,"Floarea-soarelui, între socotelile de acasă și prețul pe piața mondială",https://www.ipn.md/ro/floarea-soarelui-intre-socotelile-de-acasa-si-pretul-pe-7966_1101886.html
28.02.2024,1019600026106,APART IMOBIL S.R.L.,Pro TV,METROPOLIS. Apartamente pentru trai si business de la 23 200€ in Apart Hotel!,https://protv.md/articol-comercial/metropolis-apartamente-pentru-trai-si-business-de-la-23-200-%E2%82%AC-in-apart-hotel---2682415.html
07.02.2024,1019600026106,APART IMOBIL S.R.L.,Europa Liberă România,"Cinci persoane, inclusiv funcţionari din Primăria Ploieşti, reţinute de procurorii din Ploieşti într-un dosar privind construiri ilegale",https://romania.europalibera.org/a/perchezitii-la-primaria-ploiesti-legate-un-dezvoltator-imobiliar-acuzat-si-de-fraude/32810629.html
